State,District ,Crop,Season
Maharashtra,HINGOLI,Niger seed,Kharif     
Maharashtra,JALNA,Niger seed,Kharif     
Maharashtra,KOLHAPUR,Niger seed,Kharif     
Maharashtra,LATUR,Niger seed,Kharif     
Maharashtra,NAGPUR,Niger seed,Kharif     
Maharashtra,NANDED,Niger seed,Kharif     
Maharashtra,NANDURBAR,Niger seed,Kharif     
Maharashtra,NASHIK,Niger seed,Kharif     
Maharashtra,OSMANABAD,Niger seed,Kharif     
Maharashtra,PALGHAR,Niger seed,Kharif     
Maharashtra,PARBHANI,Niger seed,Kharif     
Maharashtra,PUNE,Niger seed,Kharif     
Maharashtra,RAIGAD,Niger seed,Kharif     
Maharashtra,RATNAGIRI,Niger seed,Kharif     
Maharashtra,SANGLI,Niger seed,Kharif     
Maharashtra,SATARA,Niger seed,Kharif     
Maharashtra,SINDHUDURG,Niger seed,Kharif     
Maharashtra,SOLAPUR,Niger seed,Kharif     
Maharashtra,THANE,Niger seed,Kharif     
Maharashtra,WASHIM,Niger seed,Kharif     
Maharashtra,YAVATMAL,Niger seed,Kharif     
Maharashtra,AHMEDNAGAR,Onion,Whole Year 
Maharashtra,AKOLA,Onion,Whole Year 
Maharashtra,AMRAVATI,Onion,Whole Year 
Maharashtra,AURANGABAD,Onion,Whole Year 
Maharashtra,BEED,Onion,Whole Year 
Maharashtra,BHANDARA,Onion,Whole Year 
Maharashtra,BULDHANA,Onion,Whole Year 
Maharashtra,CHANDRAPUR,Onion,Whole Year 
Maharashtra,DHULE,Onion,Whole Year 
Maharashtra,GADCHIROLI,Onion,Whole Year 
Maharashtra,GONDIA,Onion,Whole Year 
Maharashtra,JALGAON,Onion,Whole Year 
Maharashtra,JALNA,Onion,Whole Year 
Maharashtra,KOLHAPUR,Onion,Whole Year 
Maharashtra,NAGPUR,Onion,Whole Year 
Maharashtra,NANDURBAR,Onion,Whole Year 
Maharashtra,NASHIK,Onion,Whole Year 
Maharashtra,OSMANABAD,Onion,Whole Year 
Maharashtra,PARBHANI,Onion,Whole Year 
Maharashtra,PUNE,Onion,Whole Year 
Maharashtra,SANGLI,Onion,Whole Year 
Maharashtra,SATARA,Onion,Whole Year 
Maharashtra,SOLAPUR,Onion,Whole Year 
Maharashtra,WARDHA,Onion,Whole Year 
Maharashtra,WASHIM,Onion,Whole Year 
Maharashtra,YAVATMAL,Onion,Whole Year 
Maharashtra,AHMEDNAGAR,Other  Rabi pulses,Rabi       
Maharashtra,AKOLA,Other  Rabi pulses,Rabi       
Maharashtra,AMRAVATI,Other  Rabi pulses,Rabi       
Maharashtra,AURANGABAD,Other  Rabi pulses,Rabi       
Maharashtra,BEED,Other  Rabi pulses,Rabi       
Maharashtra,BHANDARA,Other  Rabi pulses,Rabi       
Maharashtra,BULDHANA,Other  Rabi pulses,Rabi       
Maharashtra,CHANDRAPUR,Other  Rabi pulses,Rabi       
Maharashtra,DHULE,Other  Rabi pulses,Rabi       
Maharashtra,GADCHIROLI,Other  Rabi pulses,Rabi       
Maharashtra,GONDIA,Other  Rabi pulses,Rabi       
Maharashtra,HINGOLI,Other  Rabi pulses,Rabi       
Maharashtra,JALGAON,Other  Rabi pulses,Rabi       
Maharashtra,JALNA,Other  Rabi pulses,Rabi       
Maharashtra,KOLHAPUR,Other  Rabi pulses,Rabi       
Maharashtra,LATUR,Other  Rabi pulses,Rabi       
Maharashtra,NAGPUR,Other  Rabi pulses,Rabi       
Maharashtra,NANDED,Other  Rabi pulses,Rabi       
Maharashtra,NANDURBAR,Other  Rabi pulses,Rabi       
Maharashtra,NASHIK,Other  Rabi pulses,Rabi       
Maharashtra,OSMANABAD,Other  Rabi pulses,Rabi       
Maharashtra,PALGHAR,Other  Rabi pulses,Rabi       
Maharashtra,PARBHANI,Other  Rabi pulses,Rabi       
Maharashtra,PUNE,Other  Rabi pulses,Rabi       
Maharashtra,RAIGAD,Other  Rabi pulses,Rabi       
Maharashtra,RATNAGIRI,Other  Rabi pulses,Rabi       
Maharashtra,SANGLI,Other  Rabi pulses,Rabi       
Maharashtra,SATARA,Other  Rabi pulses,Rabi       
Maharashtra,SINDHUDURG,Other  Rabi pulses,Rabi       
Maharashtra,SOLAPUR,Other  Rabi pulses,Rabi       
Maharashtra,THANE,Other  Rabi pulses,Rabi       
Maharashtra,WARDHA,Other  Rabi pulses,Rabi       
Maharashtra,WASHIM,Other  Rabi pulses,Rabi       
Maharashtra,YAVATMAL,Other  Rabi pulses,Rabi       
Maharashtra,AHMEDNAGAR,Other Cereals,Kharif     
Maharashtra,AKOLA,Other Cereals,Kharif     
Maharashtra,AMRAVATI,Other Cereals,Kharif     
Maharashtra,AURANGABAD,Other Cereals,Kharif     
Maharashtra,BEED,Other Cereals,Kharif     
Maharashtra,BHANDARA,Other Cereals,Kharif     
Maharashtra,BULDHANA,Other Cereals,Kharif     
Maharashtra,CHANDRAPUR,Other Cereals,Kharif     
Maharashtra,DHULE,Other Cereals,Kharif     
Maharashtra,GADCHIROLI,Other Cereals,Kharif     
Maharashtra,GONDIA,Other Cereals,Kharif     
Maharashtra,HINGOLI,Other Cereals,Kharif     
Maharashtra,JALGAON,Other Cereals,Kharif     
Maharashtra,JALNA,Other Cereals,Kharif     
Maharashtra,KOLHAPUR,Other Cereals,Kharif     
Maharashtra,LATUR,Other Cereals,Kharif     
Maharashtra,NAGPUR,Other Cereals,Kharif     
Maharashtra,NANDED,Other Cereals,Kharif     
Maharashtra,NANDURBAR,Other Cereals,Kharif     
Maharashtra,NASHIK,Other Cereals,Kharif     
Maharashtra,OSMANABAD,Other Cereals,Rabi       
Maharashtra,PALGHAR,Other Cereals,Kharif     
Maharashtra,PARBHANI,Other Cereals,Rabi       
Maharashtra,PUNE,Other Cereals,Kharif     
Maharashtra,RAIGAD,Other Cereals,Kharif     
Maharashtra,RATNAGIRI,Other Cereals,Kharif     
Maharashtra,SANGLI,Other Cereals,Rabi       
Maharashtra,SATARA,Other Cereals,Kharif     
Maharashtra,SINDHUDURG,Other Cereals,Kharif     
Maharashtra,SOLAPUR,Other Cereals,Kharif     
Maharashtra,THANE,Other Cereals,Kharif     
Maharashtra,WARDHA,Other Cereals,Kharif     
Maharashtra,WASHIM,Other Cereals,Kharif     
Maharashtra,YAVATMAL,Other Cereals,Kharif     
Maharashtra,AHMEDNAGAR,Other Kharif pulses,Kharif     
Maharashtra,AKOLA,Other Kharif pulses,Kharif     
Maharashtra,AMRAVATI,Other Kharif pulses,Kharif     
Maharashtra,AURANGABAD,Other Kharif pulses,Kharif     
Maharashtra,BEED,Other Kharif pulses,Kharif     
Maharashtra,BHANDARA,Other Kharif pulses,Kharif     
Maharashtra,BULDHANA,Other Kharif pulses,Kharif     
Maharashtra,CHANDRAPUR,Other Kharif pulses,Kharif     
Maharashtra,DHULE,Other Kharif pulses,Kharif     
Maharashtra,GADCHIROLI,Other Kharif pulses,Kharif     
Maharashtra,GONDIA,Other Kharif pulses,Kharif     
Maharashtra,HINGOLI,Other Kharif pulses,Kharif     
Maharashtra,JALGAON,Other Kharif pulses,Kharif     
Maharashtra,JALNA,Other Kharif pulses,Kharif     
Maharashtra,KOLHAPUR,Other Kharif pulses,Kharif     
Maharashtra,LATUR,Other Kharif pulses,Kharif     
Maharashtra,NAGPUR,Other Kharif pulses,Kharif     
Maharashtra,NANDED,Other Kharif pulses,Kharif     
Maharashtra,NANDURBAR,Other Kharif pulses,Kharif     
Maharashtra,NASHIK,Other Kharif pulses,Kharif     
Maharashtra,OSMANABAD,Other Kharif pulses,Kharif     
Maharashtra,PALGHAR,Other Kharif pulses,Kharif     
Maharashtra,PARBHANI,Other Kharif pulses,Kharif     
Maharashtra,PUNE,Other Kharif pulses,Kharif     
Maharashtra,RAIGAD,Other Kharif pulses,Kharif     
Maharashtra,RATNAGIRI,Other Kharif pulses,Kharif     
Maharashtra,SANGLI,Other Kharif pulses,Kharif     
Maharashtra,SATARA,Other Kharif pulses,Kharif     
Maharashtra,SINDHUDURG,Other Kharif pulses,Kharif     
Maharashtra,SOLAPUR,Other Kharif pulses,Kharif     
Maharashtra,THANE,Other Kharif pulses,Kharif     
Maharashtra,WARDHA,Other Kharif pulses,Kharif     
Maharashtra,WASHIM,Other Kharif pulses,Kharif     
Maharashtra,YAVATMAL,Other Kharif pulses,Kharif     
Maharashtra,AHMEDNAGAR,other oilseeds,Kharif     
Maharashtra,AMRAVATI,other oilseeds,Kharif     
Maharashtra,AURANGABAD,other oilseeds,Kharif     
Maharashtra,BEED,other oilseeds,Kharif     
Maharashtra,BHANDARA,other oilseeds,Rabi       
Maharashtra,BULDHANA,other oilseeds,Kharif     
Maharashtra,CHANDRAPUR,other oilseeds,Kharif     
Maharashtra,DHULE,other oilseeds,Kharif     
Maharashtra,GADCHIROLI,other oilseeds,Rabi       
Maharashtra,GONDIA,other oilseeds,Kharif     
Maharashtra,HINGOLI,other oilseeds,Kharif     
Maharashtra,JALGAON,other oilseeds,Kharif     
Maharashtra,JALNA,other oilseeds,Kharif     
Maharashtra,KOLHAPUR,other oilseeds,Summer     
Maharashtra,LATUR,other oilseeds,Rabi       
Maharashtra,NAGPUR,other oilseeds,Kharif     
Maharashtra,NANDED,other oilseeds,Kharif     
Maharashtra,NANDURBAR,other oilseeds,Kharif     
Maharashtra,NASHIK,other oilseeds,Kharif     
Maharashtra,OSMANABAD,other oilseeds,Kharif     
Maharashtra,PALGHAR,other oilseeds,Rabi       
Maharashtra,PARBHANI,other oilseeds,Kharif     
Maharashtra,PUNE,other oilseeds,Rabi       
Maharashtra,RAIGAD,other oilseeds,Rabi       
Maharashtra,RATNAGIRI,other oilseeds,Rabi       
Maharashtra,SANGLI,other oilseeds,Summer     
Maharashtra,SATARA,other oilseeds,Rabi       
Maharashtra,SINDHUDURG,other oilseeds,Rabi       
Maharashtra,SOLAPUR,other oilseeds,Kharif     
Maharashtra,THANE,other oilseeds,Rabi       
Maharashtra,WARDHA,other oilseeds,Kharif     
Maharashtra,WASHIM,other oilseeds,Kharif     
Maharashtra,YAVATMAL,other oilseeds,Kharif     
Maharashtra,AHMEDNAGAR,Other Summer Pulses,Summer     
Maharashtra,AKOLA,Other Summer Pulses,Summer     
Maharashtra,AMRAVATI,Other Summer Pulses,Summer     
Maharashtra,AURANGABAD,Other Summer Pulses,Summer     
Maharashtra,BEED,Other Summer Pulses,Summer     
Maharashtra,BHANDARA,Other Summer Pulses,Summer     
Maharashtra,BULDHANA,Other Summer Pulses,Summer     
Maharashtra,CHANDRAPUR,Other Summer Pulses,Summer     
Maharashtra,GADCHIROLI,Other Summer Pulses,Summer     
Maharashtra,GONDIA,Other Summer Pulses,Summer     
Maharashtra,HINGOLI,Other Summer Pulses,Summer     
Maharashtra,JALGAON,Other Summer Pulses,Summer     
Maharashtra,JALNA,Other Summer Pulses,Summer     
Maharashtra,KOLHAPUR,Other Summer Pulses,Summer     
Maharashtra,NAGPUR,Other Summer Pulses,Summer     
Maharashtra,NANDURBAR,Other Summer Pulses,Summer     
Maharashtra,NASHIK,Other Summer Pulses,Summer     
Maharashtra,PUNE,Other Summer Pulses,Summer     
Maharashtra,SOLAPUR,Other Summer Pulses,Summer     
Maharashtra,WASHIM,Other Summer Pulses,Summer     
Maharashtra,YAVATMAL,Other Summer Pulses,Summer     
Maharashtra,AHMEDNAGAR,Ragi,Kharif     
Maharashtra,AURANGABAD,Ragi,Kharif     
Maharashtra,BEED,Ragi,Kharif     
Maharashtra,BULDHANA,Ragi,Kharif     
Maharashtra,DHULE,Ragi,Kharif     
Maharashtra,KOLHAPUR,Ragi,Kharif     
Maharashtra,NANDURBAR,Ragi,Kharif     
Maharashtra,NASHIK,Ragi,Kharif     
Maharashtra,OSMANABAD,Ragi,Kharif     
Maharashtra,PALGHAR,Ragi,Kharif     
Maharashtra,PUNE,Ragi,Kharif     
Maharashtra,RAIGAD,Ragi,Kharif     
Maharashtra,RATNAGIRI,Ragi,Kharif     
Maharashtra,SANGLI,Ragi,Kharif     
Maharashtra,SATARA,Ragi,Kharif     
Maharashtra,SINDHUDURG,Ragi,Kharif     
Maharashtra,SOLAPUR,Ragi,Kharif     
Maharashtra,THANE,Ragi,Kharif     
Maharashtra,AHMEDNAGAR,Rapeseed &Mustard,Rabi       
Maharashtra,AKOLA,Rapeseed &Mustard,Rabi       
Maharashtra,AMRAVATI,Rapeseed &Mustard,Rabi       
Maharashtra,AURANGABAD,Rapeseed &Mustard,Rabi       
Maharashtra,BEED,Rapeseed &Mustard,Rabi       
Maharashtra,BHANDARA,Rapeseed &Mustard,Rabi       
Maharashtra,BULDHANA,Rapeseed &Mustard,Rabi       
Maharashtra,CHANDRAPUR,Rapeseed &Mustard,Rabi       
Maharashtra,DHULE,Rapeseed &Mustard,Rabi       
Maharashtra,GADCHIROLI,Rapeseed &Mustard,Rabi       
Maharashtra,GONDIA,Rapeseed &Mustard,Rabi       
Maharashtra,HINGOLI,Rapeseed &Mustard,Rabi       
Maharashtra,JALGAON,Rapeseed &Mustard,Rabi       
Maharashtra,JALNA,Rapeseed &Mustard,Rabi       
Maharashtra,KOLHAPUR,Rapeseed &Mustard,Rabi       
Maharashtra,LATUR,Rapeseed &Mustard,Rabi       
Maharashtra,NAGPUR,Rapeseed &Mustard,Rabi       
Maharashtra,NANDED,Rapeseed &Mustard,Rabi       
Maharashtra,NANDURBAR,Rapeseed &Mustard,Rabi       
Maharashtra,NASHIK,Rapeseed &Mustard,Rabi       
Maharashtra,OSMANABAD,Rapeseed &Mustard,Rabi       
Maharashtra,PALGHAR,Rapeseed &Mustard,Rabi       
Maharashtra,PARBHANI,Rapeseed &Mustard,Rabi       
Maharashtra,PUNE,Rapeseed &Mustard,Rabi       
Maharashtra,RAIGAD,Rapeseed &Mustard,Rabi       
Maharashtra,RATNAGIRI,Rapeseed &Mustard,Rabi       
Maharashtra,SANGLI,Rapeseed &Mustard,Rabi       
Maharashtra,SATARA,Rapeseed &Mustard,Rabi       
Maharashtra,SINDHUDURG,Rapeseed &Mustard,Rabi       
Maharashtra,SOLAPUR,Rapeseed &Mustard,Rabi       
Maharashtra,THANE,Rapeseed &Mustard,Rabi       
Maharashtra,WARDHA,Rapeseed &Mustard,Rabi       
Maharashtra,WASHIM,Rapeseed &Mustard,Rabi       
Maharashtra,YAVATMAL,Rapeseed &Mustard,Rabi       
Maharashtra,AHMEDNAGAR,Rice,Kharif     
Maharashtra,AKOLA,Rice,Kharif     
Maharashtra,AMRAVATI,Rice,Kharif     
Maharashtra,AURANGABAD,Rice,Kharif     
Maharashtra,BEED,Rice,Kharif     
Maharashtra,BHANDARA,Rice,Kharif     
Maharashtra,BULDHANA,Rice,Kharif     
Maharashtra,CHANDRAPUR,Rice,Kharif     
Maharashtra,DHULE,Rice,Kharif     
Maharashtra,GADCHIROLI,Rice,Kharif     
Maharashtra,GONDIA,Rice,Kharif     
Maharashtra,HINGOLI,Rice,Kharif     
Maharashtra,JALGAON,Rice,Kharif     
Maharashtra,JALNA,Rice,Kharif     
Maharashtra,KOLHAPUR,Rice,Kharif     
Maharashtra,LATUR,Rice,Kharif     
Maharashtra,NAGPUR,Rice,Kharif     
Maharashtra,NANDED,Rice,Kharif     
Maharashtra,NANDURBAR,Rice,Kharif     
Maharashtra,NASHIK,Rice,Kharif     
Maharashtra,OSMANABAD,Rice,Kharif     
Maharashtra,PALGHAR,Rice,Kharif     
Maharashtra,PARBHANI,Rice,Kharif     
Maharashtra,PUNE,Rice,Kharif     
Maharashtra,RAIGAD,Rice,Kharif     
Maharashtra,RATNAGIRI,Rice,Kharif     
Maharashtra,SANGLI,Rice,Kharif     
Maharashtra,SATARA,Rice,Kharif     
Maharashtra,SINDHUDURG,Rice,Kharif     
Maharashtra,SOLAPUR,Rice,Kharif     
Maharashtra,THANE,Rice,Kharif     
Maharashtra,WARDHA,Rice,Kharif     
Maharashtra,WASHIM,Rice,Kharif     
Maharashtra,YAVATMAL,Rice,Kharif     
Maharashtra,AHMEDNAGAR,Safflower,Rabi       
Maharashtra,AKOLA,Safflower,Rabi       
Maharashtra,AMRAVATI,Safflower,Rabi       
Maharashtra,AURANGABAD,Safflower,Rabi       
Maharashtra,BEED,Safflower,Rabi       
Maharashtra,BHANDARA,Safflower,Rabi       
Maharashtra,BULDHANA,Safflower,Rabi       
Maharashtra,CHANDRAPUR,Safflower,Rabi       
Maharashtra,DHULE,Safflower,Rabi       
Maharashtra,GADCHIROLI,Safflower,Rabi       
Maharashtra,HINGOLI,Safflower,Rabi       
Maharashtra,JALGAON,Safflower,Rabi       
Maharashtra,JALNA,Safflower,Rabi       
Maharashtra,LATUR,Safflower,Rabi       
Maharashtra,NANDED,Safflower,Rabi       
Maharashtra,NANDURBAR,Safflower,Rabi       
Maharashtra,NASHIK,Safflower,Rabi       
Maharashtra,OSMANABAD,Safflower,Rabi       
Maharashtra,PARBHANI,Safflower,Rabi       
Maharashtra,PUNE,Safflower,Rabi       
Maharashtra,RATNAGIRI,Safflower,Rabi       
Maharashtra,SANGLI,Safflower,Rabi       
Maharashtra,SATARA,Safflower,Rabi       
Maharashtra,SOLAPUR,Safflower,Rabi       
Maharashtra,WARDHA,Safflower,Rabi       
Maharashtra,WASHIM,Safflower,Rabi       
Maharashtra,YAVATMAL,Safflower,Rabi       
Maharashtra,AHMEDNAGAR,Sesamum,Kharif     
Maharashtra,AKOLA,Sesamum,Kharif     
Maharashtra,AMRAVATI,Sesamum,Kharif     
Maharashtra,AURANGABAD,Sesamum,Kharif     
Maharashtra,BEED,Sesamum,Kharif     
Maharashtra,BHANDARA,Sesamum,Kharif     
Maharashtra,BULDHANA,Sesamum,Kharif     
Maharashtra,CHANDRAPUR,Sesamum,Kharif     
Maharashtra,DHULE,Sesamum,Kharif     
Maharashtra,GADCHIROLI,Sesamum,Kharif     
Maharashtra,GONDIA,Sesamum,Kharif     
Maharashtra,HINGOLI,Sesamum,Kharif     
Maharashtra,JALGAON,Sesamum,Kharif     
Maharashtra,JALNA,Sesamum,Kharif     
Maharashtra,KOLHAPUR,Sesamum,Kharif     
Maharashtra,LATUR,Sesamum,Kharif     
Maharashtra,NAGPUR,Sesamum,Kharif     
Maharashtra,NANDED,Sesamum,Kharif     
Maharashtra,NANDURBAR,Sesamum,Kharif     
Maharashtra,NASHIK,Sesamum,Kharif     
Maharashtra,OSMANABAD,Sesamum,Kharif     
Maharashtra,PALGHAR,Sesamum,Kharif     
Maharashtra,PARBHANI,Sesamum,Kharif     
Maharashtra,PUNE,Sesamum,Kharif     
Maharashtra,RAIGAD,Sesamum,Kharif     
Maharashtra,RATNAGIRI,Sesamum,Kharif     
Maharashtra,SANGLI,Sesamum,Kharif     
Maharashtra,SATARA,Sesamum,Kharif     
Maharashtra,SINDHUDURG,Sesamum,Kharif     
Maharashtra,SOLAPUR,Sesamum,Kharif     
Maharashtra,THANE,Sesamum,Kharif     
Maharashtra,WARDHA,Sesamum,Kharif     
Maharashtra,WASHIM,Sesamum,Kharif     
Maharashtra,YAVATMAL,Sesamum,Kharif     
Maharashtra,AHMEDNAGAR,Small millets,Kharif     
Maharashtra,AKOLA,Small millets,Kharif     
Maharashtra,AMRAVATI,Small millets,Kharif     
Maharashtra,AURANGABAD,Small millets,Kharif     
Maharashtra,BEED,Small millets,Kharif     
Maharashtra,BHANDARA,Small millets,Kharif     
Maharashtra,BULDHANA,Small millets,Kharif     
Maharashtra,CHANDRAPUR,Small millets,Kharif     
Maharashtra,DHULE,Small millets,Kharif     
Maharashtra,GADCHIROLI,Small millets,Kharif     
Maharashtra,GONDIA,Small millets,Kharif     
Maharashtra,HINGOLI,Small millets,Kharif     
Maharashtra,JALGAON,Small millets,Kharif     
Maharashtra,JALNA,Small millets,Kharif     
Maharashtra,KOLHAPUR,Small millets,Kharif     
Maharashtra,LATUR,Small millets,Kharif     
Maharashtra,NAGPUR,Small millets,Kharif     
Maharashtra,NANDED,Small millets,Kharif     
Maharashtra,NANDURBAR,Small millets,Rabi       
Maharashtra,NASHIK,Small millets,Kharif     
Maharashtra,OSMANABAD,Small millets,Kharif     
Maharashtra,PALGHAR,Small millets,Rabi       
Maharashtra,PARBHANI,Small millets,Kharif     
Maharashtra,PUNE,Small millets,Kharif     
Maharashtra,RAIGAD,Small millets,Kharif     
Maharashtra,RATNAGIRI,Small millets,Kharif     
Maharashtra,SANGLI,Small millets,Rabi       
Maharashtra,SATARA,Small millets,Rabi       
Maharashtra,SINDHUDURG,Small millets,Kharif     
Maharashtra,SOLAPUR,Small millets,Rabi       
Maharashtra,THANE,Small millets,Kharif     
Maharashtra,WARDHA,Small millets,Kharif     
Maharashtra,WASHIM,Small millets,Kharif     
Maharashtra,YAVATMAL,Small millets,Kharif     
Maharashtra,AHMEDNAGAR,Soyabean,Kharif     
Maharashtra,AKOLA,Soyabean,Kharif     
Maharashtra,AMRAVATI,Soyabean,Kharif     
Maharashtra,AURANGABAD,Soyabean,Kharif     
Maharashtra,BEED,Soyabean,Kharif     
Maharashtra,BHANDARA,Soyabean,Kharif     
Maharashtra,BULDHANA,Soyabean,Kharif     
Maharashtra,CHANDRAPUR,Soyabean,Kharif     
Maharashtra,DHULE,Soyabean,Kharif     
Maharashtra,GADCHIROLI,Soyabean,Kharif     
Maharashtra,GONDIA,Soyabean,Kharif     
Maharashtra,HINGOLI,Soyabean,Kharif     
Maharashtra,JALGAON,Soyabean,Kharif     
Maharashtra,JALNA,Soyabean,Kharif     
Maharashtra,KOLHAPUR,Soyabean,Kharif     
Maharashtra,LATUR,Soyabean,Kharif     
Maharashtra,NAGPUR,Soyabean,Kharif     
Maharashtra,NANDED,Soyabean,Kharif     
Maharashtra,NANDURBAR,Soyabean,Kharif     
Maharashtra,NASHIK,Soyabean,Kharif     
Maharashtra,OSMANABAD,Soyabean,Kharif     
Maharashtra,PARBHANI,Soyabean,Kharif     
Maharashtra,PUNE,Soyabean,Kharif     
Maharashtra,SANGLI,Soyabean,Kharif     
Maharashtra,SATARA,Soyabean,Kharif     
Maharashtra,SOLAPUR,Soyabean,Kharif     
Maharashtra,WARDHA,Soyabean,Kharif     
Maharashtra,WASHIM,Soyabean,Kharif     
Maharashtra,YAVATMAL,Soyabean,Kharif     
Maharashtra,AHMEDNAGAR,Sugarcane,Kharif     
Maharashtra,AKOLA,Sugarcane,Kharif     
Maharashtra,AMRAVATI,Sugarcane,Kharif     
Maharashtra,AURANGABAD,Sugarcane,Kharif     
Maharashtra,BEED,Sugarcane,Kharif     
Maharashtra,BHANDARA,Sugarcane,Kharif     
Maharashtra,BULDHANA,Sugarcane,Kharif     
Maharashtra,CHANDRAPUR,Sugarcane,Whole Year 
Maharashtra,DHULE,Sugarcane,Kharif     
Maharashtra,GADCHIROLI,Sugarcane,Whole Year 
Maharashtra,GONDIA,Sugarcane,Whole Year 
Maharashtra,HINGOLI,Sugarcane,Whole Year 
Maharashtra,JALGAON,Sugarcane,Kharif     
Maharashtra,JALNA,Sugarcane,Kharif     
Maharashtra,KOLHAPUR,Sugarcane,Kharif     
Maharashtra,LATUR,Sugarcane,Kharif     
Maharashtra,NAGPUR,Sugarcane,Kharif     
Maharashtra,NANDED,Sugarcane,Kharif     
Maharashtra,NANDURBAR,Sugarcane,Whole Year 
Maharashtra,NASHIK,Sugarcane,Kharif     
Maharashtra,OSMANABAD,Sugarcane,Kharif     
Maharashtra,PARBHANI,Sugarcane,Kharif     
Maharashtra,PUNE,Sugarcane,Kharif     
Maharashtra,RATNAGIRI,Sugarcane,Whole Year 
Maharashtra,SANGLI,Sugarcane,Kharif     
Maharashtra,SATARA,Sugarcane,Kharif     
Maharashtra,SINDHUDURG,Sugarcane,Whole Year 
Maharashtra,SOLAPUR,Sugarcane,Kharif     
Maharashtra,WARDHA,Sugarcane,Kharif     
Maharashtra,WASHIM,Sugarcane,Whole Year 
Maharashtra,YAVATMAL,Sugarcane,Kharif     
Maharashtra,AHMEDNAGAR,Sunflower,Kharif     
Maharashtra,AKOLA,Sunflower,Kharif     
Maharashtra,AMRAVATI,Sunflower,Kharif     
Maharashtra,AURANGABAD,Sunflower,Kharif     
Maharashtra,BEED,Sunflower,Kharif     
Maharashtra,BHANDARA,Sunflower,Summer     
Maharashtra,BULDHANA,Sunflower,Kharif     
Maharashtra,CHANDRAPUR,Sunflower,Rabi       
Maharashtra,DHULE,Sunflower,Kharif     
Maharashtra,GADCHIROLI,Sunflower,Rabi       
Maharashtra,HINGOLI,Sunflower,Kharif     
Maharashtra,JALGAON,Sunflower,Kharif     
Maharashtra,JALNA,Sunflower,Kharif     
Maharashtra,KOLHAPUR,Sunflower,Rabi       
Maharashtra,LATUR,Sunflower,Kharif     
Maharashtra,NAGPUR,Sunflower,Kharif     
Maharashtra,NANDED,Sunflower,Kharif     
Maharashtra,NANDURBAR,Sunflower,Kharif     
Maharashtra,NASHIK,Sunflower,Kharif     
Maharashtra,OSMANABAD,Sunflower,Kharif     
Maharashtra,PALGHAR,Sunflower,Rabi       
Maharashtra,PARBHANI,Sunflower,Kharif     
Maharashtra,PUNE,Sunflower,Kharif     
Maharashtra,RATNAGIRI,Sunflower,Rabi       
Maharashtra,SANGLI,Sunflower,Kharif     
Maharashtra,SATARA,Sunflower,Kharif     
Maharashtra,SINDHUDURG,Sunflower,Rabi       
Maharashtra,SOLAPUR,Sunflower,Kharif     
Maharashtra,THANE,Sunflower,Rabi       
Maharashtra,WARDHA,Sunflower,Rabi       
Maharashtra,WASHIM,Sunflower,Kharif     
Maharashtra,YAVATMAL,Sunflower,Kharif     
Maharashtra,KOLHAPUR,Tobacco,Whole Year 
Maharashtra,SANGLI,Tobacco,Whole Year 
Maharashtra,AHMEDNAGAR,Urad,Kharif     
Maharashtra,AKOLA,Urad,Kharif     
Maharashtra,AMRAVATI,Urad,Kharif     
Maharashtra,AURANGABAD,Urad,Kharif     
Maharashtra,BEED,Urad,Kharif     
Maharashtra,BHANDARA,Urad,Kharif     
Maharashtra,BULDHANA,Urad,Kharif     
Maharashtra,CHANDRAPUR,Urad,Kharif     
Maharashtra,DHULE,Urad,Kharif     
Maharashtra,GADCHIROLI,Urad,Kharif     
Maharashtra,GONDIA,Urad,Kharif     
Maharashtra,HINGOLI,Urad,Kharif     
Maharashtra,JALGAON,Urad,Kharif     
Maharashtra,JALNA,Urad,Kharif     
Maharashtra,KOLHAPUR,Urad,Kharif     
Maharashtra,LATUR,Urad,Kharif     
Maharashtra,NAGPUR,Urad,Kharif     
Maharashtra,NANDED,Urad,Kharif     
Maharashtra,NANDURBAR,Urad,Kharif     
Maharashtra,NASHIK,Urad,Kharif     
Maharashtra,OSMANABAD,Urad,Kharif     
Maharashtra,PALGHAR,Urad,Kharif     
Maharashtra,PARBHANI,Urad,Kharif     
Maharashtra,PUNE,Urad,Kharif     
Maharashtra,RAIGAD,Urad,Kharif     
Maharashtra,RATNAGIRI,Urad,Kharif     
Maharashtra,SANGLI,Urad,Kharif     
Maharashtra,SATARA,Urad,Kharif     
Maharashtra,SINDHUDURG,Urad,Kharif     
Maharashtra,SOLAPUR,Urad,Kharif     
Maharashtra,THANE,Urad,Kharif     
Maharashtra,WARDHA,Urad,Kharif     
Maharashtra,WASHIM,Urad,Kharif     
Maharashtra,YAVATMAL,Urad,Kharif     
Maharashtra,AHMEDNAGAR,Wheat,Rabi       
Maharashtra,AKOLA,Wheat,Rabi       
Maharashtra,AMRAVATI,Wheat,Rabi       
Maharashtra,AURANGABAD,Wheat,Rabi       
Maharashtra,BEED,Wheat,Rabi       
Maharashtra,BHANDARA,Wheat,Rabi       
Maharashtra,BULDHANA,Wheat,Rabi       
Maharashtra,CHANDRAPUR,Wheat,Rabi       
Maharashtra,DHULE,Wheat,Rabi       
Maharashtra,GADCHIROLI,Wheat,Rabi       
Maharashtra,GONDIA,Wheat,Rabi       
